Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2019-01-01T00:20:00+00:00,,,53.432859,-2.508939,Male,Oct-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Community resolution,TRUE,FALSE
Person and Vehicle search,2019-01-01T00:20:00+00:00,,,53.432859,-2.508939,Male,Oct-17,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Community resolution,TRUE,FALSE
Person search,2019-01-01T00:20:00+00:00,,,53.432859,-2.508939,Male,Oct-17,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Community resolution,TRUE,FALSE
Person search,2019-01-01T10:55:00+00:00,,,53.360964,-2.505482,,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,TRUE,FALSE
Person search,2019-01-01T10:55:00+00:00,,,53.360964,-2.505482,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,TRUE,FALSE
Person and Vehicle search,2019-01-01T13:55:00+00:00,,,53.213559,-2.793534,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,FALSE
Person search,2019-01-01T16:35:00+00:00,,,53.196438,-2.894542,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,TRUE,FALSE
Person search,2019-01-02T00:03:00+00:00,,,53.432859,-2.508939,Male,Oct-17,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Community resolution,TRUE,FALSE
Person and Vehicle search,2019-01-02T08:57:00+00:00,,,53.359765,-2.735965,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,TRUE,FALSE
Person search,2019-01-02T09:19:00+00:00,,,53.336137,-2.699575,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,FALSE,FALSE
Person search,2019-01-02T14:07:00+00:00,,,53.261523,-2.131567,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,FALSE
Person search,2019-01-02T14:07:00+00:00,,,53.260869,-2.130006,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,FALSE
Person search,2019-01-02T22:35:00+00:00,,,53.332973,-2.738386,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,FALSE
Person and Vehicle search,2019-01-03T12:45:00+00:00,,,53.164661,-2.226205,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,FALSE
Person search,2019-01-03T12:45:00+00:00,,,53.164661,-2.226205,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,TRUE,FALSE
Person search,2019-01-03T13:00:00+00:00,,,53.164075,-2.212516,Male,over 34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,FALSE
Person search,2019-01-03T13:00:00+00:00,,,53.164075,-2.212516,Male,25-34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,FALSE
Person search,2019-01-03T14:40:00+00:00,,,53.19433,-2.884395,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,TRUE,FALSE
Person search,2019-01-03T17:30:00+00:00,,,53.36633,-2.73979,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,TRUE
Person search,2019-01-03T19:20:00+00:00,,,53.101234,-2.455608,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,FALSE
Person and Vehicle search,2019-01-03T20:05:00+00:00,,,53.071136,-2.517573,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Arrest,TRUE,FALSE
Person search,2019-01-03T22:20:00+00:00,,,53.256085,-2.154004,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,TRUE,FALSE
Person search,2019-01-03T22:20:00+00:00,,,53.256085,-2.154004,Male,Oct-17,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,FALSE
Person search,2019-01-03T22:20:00+00:00,,,53.256085,-2.154004,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,FALSE
Person search,2019-01-03T22:20:00+00:00,,,53.256085,-2.154004,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,FALSE
Person and Vehicle search,2019-01-05T01:00:00+00:00,,,53.097823,-2.432469,Male,18-24,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,FALSE
Person search,2019-01-05T01:00:00+00:00,,,53.097823,-2.432469,Male,18-24,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,FALSE
Person search,2019-01-05T13:55:00+00:00,,,53.27843,-2.901413,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,TRUE,FALSE
Person and Vehicle search,2019-01-05T16:30:00+00:00,,,,,Male,over 34,Other ethnic group - Not stated,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,FALSE
Person search,2019-01-05T17:00:00+00:00,,,53.151994,-2.3495,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Criminal Justice and Public Order Act 1994 (section 60),Offensive weapons,,TRUE,FALSE
Person search,2019-01-05T17:00:00+00:00,,,53.141477,-2.376025,,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Criminal Justice and Public Order Act 1994 (section 60),Offensive weapons,A no further action disposal,,FALSE
Person search,2019-01-05T20:35:00+00:00,,,53.269312,-2.459478,Male,Oct-17,Mixed/Multiple ethnic groups - White and Black Caribbean,Black,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,FALSE
Person search,2019-01-05T21:00:00+00:00,,,53.190799,-2.888977,,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,FALSE,FALSE
Person search,2019-01-05T21:35:00+00:00,,,53.280268,-2.885299,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,TRUE,FALSE
Person search,2019-01-05T23:00:00+00:00,,,53.180685,-2.896354,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,TRUE,FALSE
Person search,2019-01-05T23:01:00+00:00,,,53.180685,-2.896354,Male,Oct-17,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,FALSE,FALSE
Person and Vehicle search,2019-01-06T01:00:00+00:00,,,53.289932,-2.971728,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,TRUE,FALSE
Person search,2019-01-06T01:00:00+00:00,,,53.289932,-2.971728,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,FALSE
Person and Vehicle search,2019-01-06T01:09:00+00:00,,,53.287099,-2.950813,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,FALSE
Person and Vehicle search,2019-01-06T16:02:00+00:00,,,53.195336,-2.8941,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Summons / charged by post,TRUE,FALSE
Person and Vehicle search,2019-01-06T20:04:00+00:00,,,53.318408,-2.676738,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,FALSE
Person search,2019-01-07T00:00:00+00:00,,,,,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Arrest,TRUE,FALSE
Person search,2019-01-07T01:03:00+00:00,,,53.37285,-2.778892,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,FALSE
Person search,2019-01-07T23:22:00+00:00,,,53.378653,-2.744318,Male,over 34,Other ethnic group - Not stated,Asian,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,FALSE
Person and Vehicle search,2019-01-08T04:40:00+00:00,,,53.385758,-2.583747,Male,25-34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,FALSE
Person and Vehicle search,2019-01-08T12:59:00+00:00,,,53.398778,-2.584572,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,FALSE
Person and Vehicle search,2019-01-08T20:05:00+00:00,,,53.347522,-2.205257,Male,18-24,Other ethnic group - Not stated,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,FALSE
Person search,2019-01-08T20:05:00+00:00,,,53.347522,-2.205257,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,TRUE,FALSE
Person search,2019-01-08T20:05:00+00:00,,,53.347522,-2.205257,Male,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,FALSE
Person search,2019-01-08T23:00:00+00:00,,,53.206486,-2.930012,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Penalty Notice for Disorder,TRUE,FALSE
Person search,2019-01-09T11:40:00+00:00,,,,,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,TRUE,FALSE
Person and Vehicle search,2019-01-09T12:00:00+00:00,,,53.095764,-2.415095,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,TRUE,FALSE
Person search,2019-01-09T15:50:00+00:00,,,53.195205,-2.893529,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,FALSE
Person search,2019-01-09T16:30:00+00:00,,,53.347168,-2.703887,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,TRUE,FALSE
Person and Vehicle search,2019-01-10T03:30:00+00:00,,,53.276215,-2.897167,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,FALSE
Person search,2019-01-10T05:00:00+00:00,,,53.195205,-2.893529,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,FALSE
Person search,2019-01-10T14:04:00+00:00,,,53.323249,-2.694605,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,FALSE
Person search,2019-01-11T03:20:00+00:00,,,53.276215,-2.897167,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,FALSE
Vehicle search,2019-01-11T03:25:00+00:00,,,53.276215,-2.897167,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,TRUE,
Person and Vehicle search,2019-01-11T10:45:00+00:00,,,53.367037,-2.768822,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,TRUE,FALSE
Person search,2019-01-11T10:45:00+00:00,,,53.367037,-2.768822,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,TRUE,FALSE
Person search,2019-01-11T11:27:00+00:00,,,53.259305,-2.498091,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,FALSE
Person search,2019-01-11T12:30:00+00:00,,,53.36633,-2.73979,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,TRUE,FALSE
Person search,2019-01-11T13:01:00+00:00,,,53.261252,-2.124701,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,TRUE,TRUE
Person search,2019-01-11T14:40:00+00:00,,,,,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,TRUE,FALSE
Person search,2019-01-11T14:40:00+00:00,,,,,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,FALSE
Person search,2019-01-11T15:20:00+00:00,,,53.248152,-2.128079,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,TRUE,TRUE
Person search,2019-01-11T20:58:00+00:00,,,53.20278,-2.870975,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,TRUE,FALSE
Person and Vehicle search,2019-01-11T23:30:00+00:00,,,,,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,TRUE,FALSE
Person and Vehicle search,2019-01-12T01:35:00+00:00,,,53.275672,-2.891727,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,FALSE
Person search,2019-01-12T01:35:00+00:00,,,53.27435,-2.890485,Male,18-24,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,FALSE
Person search,2019-01-12T02:17:00+00:00,,,53.387809,-2.592571,Female,,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,FALSE
Person search,2019-01-12T22:40:00+00:00,,,53.322375,-2.704184,Female,Oct-17,Other ethnic group - Not stated,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,FALSE
Person search,2019-01-12T22:40:00+00:00,,,53.322375,-2.704184,Female,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,FALSE
Person search,2019-01-12T22:40:00+00:00,,,53.322375,-2.704184,Female,Oct-17,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,FALSE
Person search,2019-01-12T22:40:00+00:00,,,53.322375,-2.704184,Female,18-24,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,FALSE
Person search,2019-01-12T22:40:00+00:00,,,53.322375,-2.704184,Female,Oct-17,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,FALSE
Person search,2019-01-12T23:00:00+00:00,,,53.253531,-2.124004,Male,over 34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Penalty Notice for Disorder,TRUE,FALSE
Person and Vehicle search,2019-01-13T03:00:00+00:00,,,,,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,TRUE,FALSE
Person search,2019-01-13T04:20:00+00:00,,,53.380266,-2.732079,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,FALSE
Person search,2019-01-13T13:53:00+00:00,,,53.377786,-2.766265,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,FALSE
Person search,2019-01-13T21:45:00+00:00,,,53.28922,-3.061556,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest,FALSE,FALSE
Person search,2019-01-13T22:05:00+00:00,,,53.288808,-3.062371,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Firearms,A no further action disposal,,FALSE
Person search,2019-01-14T01:00:00+00:00,,,,,,over 34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Community resolution,FALSE,FALSE
Person search,2019-01-14T01:00:00+00:00,,,53.190799,-2.888977,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,FALSE
Person and Vehicle search,2019-01-14T02:01:00+00:00,,,53.101729,-2.450625,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,FALSE,FALSE
Person search,2019-01-14T02:25:00+00:00,,,53.101729,-2.450625,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,FALSE
Person search,2019-01-14T02:26:00+00:00,,,53.101729,-2.450625,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,TRUE,FALSE
Person search,2019-01-14T23:00:00+00:00,,,52.45372,-1.996778,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,TRUE,FALSE
Person and Vehicle search,2019-01-15T02:40:00+00:00,,,53.331289,-2.229429,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,FALSE,FALSE
Person search,2019-01-15T09:40:00+00:00,,,53.264814,-2.48979,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,FALSE
Person and Vehicle search,2019-01-15T09:40:00+00:00,,,53.264814,-2.48979,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,FALSE
Person search,2019-01-15T17:33:00+00:00,,,53.3327,-2.706171,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Summons / charged by post,TRUE,FALSE
Person search,2019-01-15T19:30:00+00:00,,,53.364946,-2.719313,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,FALSE
Person search,2019-01-15T23:20:00+00:00,,,53.384396,-2.713522,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,TRUE,FALSE
Person and Vehicle search,2019-01-15T23:20:00+00:00,,,53.384396,-2.713522,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,TRUE,FALSE
Person and Vehicle search,2019-01-16T00:55:00+00:00,,,,,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,TRUE,FALSE
Person search,2019-01-16T11:40:00+00:00,,,53.26165,-2.122498,Male,18-24,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,TRUE,FALSE
Person search,2019-01-16T14:25:00+00:00,,,53.19616,-2.884822,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,FALSE
Person search,2019-01-17T00:30:00+00:00,,,53.329974,-2.72898,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,FALSE
Person search,2019-01-17T01:05:00+00:00,,,53.332242,-2.706149,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,FALSE
Person search,2019-01-17T02:04:00+00:00,,,53.332051,-2.721522,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,FALSE
Person search,2019-01-17T02:30:00+00:00,,,53.389734,-2.737369,,over 34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,FALSE
Person search,2019-01-17T02:30:00+00:00,,,53.389734,-2.737369,,over 34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,FALSE
Person search,2019-01-17T02:30:00+00:00,,,53.389734,-2.737369,,over 34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,FALSE
Person and Vehicle search,2019-01-17T02:30:00+00:00,,,53.400702,-2.760134,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,FALSE
Person search,2019-01-17T02:40:00+00:00,,,53.333878,-2.716763,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,FALSE
